DATE,TIME,jsk
2019/1/1,0:00,2555
2019/1/1,1:00,2433
2019/1/1,2:00,2393
2019/1/1,3:00,2375
2019/1/1,4:00,2390
2019/1/1,5:00,2467
2019/1/1,6:00,2631
2019/1/1,7:00,2775
2019/1/1,8:00,2965
2019/1/1,9:00,3159
2019/1/1,10:00,3211
2019/1/1,11:00,3265
2019/1/1,12:00,3160
2019/1/1,13:00,3288
2019/1/1,14:00,3361
2019/1/1,15:00,3362
2019/1/1,16:00,3406
2019/1/1,17:00,3438
2019/1/1,18:00,3501
2019/1/1,19:00,3381
2019/1/1,20:00,3242
2019/1/1,21:00,3084
2019/1/1,22:00,2973
2019/1/1,23:00,2811
2019/1/2,0:00,2613
2019/1/2,1:00,2492
2019/1/2,2:00,2431
2019/1/2,3:00,2403
2019/1/2,4:00,2390
2019/1/2,5:00,2432
2019/1/2,6:00,2543
2019/1/2,7:00,2734
2019/1/2,8:00,3019
2019/1/2,9:00,3225
2019/1/2,10:00,3258
2019/1/2,11:00,3239
2019/1/2,12:00,3167
2019/1/2,13:00,3112
2019/1/2,14:00,3049
2019/1/2,15:00,3043
2019/1/2,16:00,3098
2019/1/2,17:00,3216
2019/1/2,18:00,3328
2019/1/2,19:00,3276
2019/1/2,20:00,3173
2019/1/2,21:00,3007
2019/1/2,22:00,2856
2019/1/2,23:00,2674
2019/1/3,0:00,2455
2019/1/3,1:00,2325
2019/1/3,2:00,2280
2019/1/3,3:00,2265
2019/1/3,4:00,2253
2019/1/3,5:00,2276
2019/1/3,6:00,2330
2019/1/3,7:00,2493
2019/1/3,8:00,2700
2019/1/3,9:00,2832
2019/1/3,10:00,2835
2019/1/3,11:00,2833
2019/1/3,12:00,2820
2019/1/3,13:00,2738
2019/1/3,14:00,2694
2019/1/3,15:00,2684
2019/1/3,16:00,2755
2019/1/3,17:00,2920
2019/1/3,18:00,3132
2019/1/3,19:00,3114
2019/1/3,20:00,3020
2019/1/3,21:00,2860
2019/1/3,22:00,2690
2019/1/3,23:00,2494
2019/1/4,0:00,2304
2019/1/4,1:00,2206
2019/1/4,2:00,2179
2019/1/4,3:00,2189
2019/1/4,4:00,2216
2019/1/4,5:00,2320
2019/1/4,6:00,2528
2019/1/4,7:00,2835
2019/1/4,8:00,3168
2019/1/4,9:00,3418
2019/1/4,10:00,3480
2019/1/4,11:00,3422
2019/1/4,12:00,3200
2019/1/4,13:00,3323
2019/1/4,14:00,3322
2019/1/4,15:00,3312
2019/1/4,16:00,3349
2019/1/4,17:00,3346
2019/1/4,18:00,3436
2019/1/4,19:00,3337
2019/1/4,20:00,3213
2019/1/4,21:00,3067
2019/1/4,22:00,2982
2019/1/4,23:00,2797
2019/1/5,0:00,2551
2019/1/5,1:00,2427
2019/1/5,2:00,2392
2019/1/5,3:00,2380
2019/1/5,4:00,2415
2019/1/5,5:00,2524
2019/1/5,6:00,2767
2019/1/5,7:00,3056
2019/1/5,8:00,3400
2019/1/5,9:00,3678
2019/1/5,10:00,3747
2019/1/5,11:00,3727
2019/1/5,12:00,3532
2019/1/5,13:00,3670
2019/1/5,14:00,3640
2019/1/5,15:00,3589
2019/1/5,16:00,3579
2019/1/5,17:00,3579
2019/1/5,18:00,3664
2019/1/5,19:00,3559
2019/1/5,20:00,3414
2019/1/5,21:00,3234
2019/1/5,22:00,3135
2019/1/5,23:00,2913
2019/1/6,0:00,2634
2019/1/6,1:00,2496
2019/1/6,2:00,2451
2019/1/6,3:00,2440
2019/1/6,4:00,2478
2019/1/6,5:00,2593
2019/1/6,6:00,2787
2019/1/6,7:00,2955
2019/1/6,8:00,3143
2019/1/6,9:00,3301
2019/1/6,10:00,3304
2019/1/6,11:00,3276
2019/1/6,12:00,3106
2019/1/6,13:00,3216
2019/1/6,14:00,3282
2019/1/6,15:00,3258
2019/1/6,16:00,3270
2019/1/6,17:00,3262
2019/1/6,18:00,3392
2019/1/6,19:00,3319
2019/1/6,20:00,3206
2019/1/6,21:00,3055
2019/1/6,22:00,2948
2019/1/6,23:00,2746
2019/1/7,0:00,2512
2019/1/7,1:00,2387
2019/1/7,2:00,2349
2019/1/7,3:00,2344
2019/1/7,4:00,2367
2019/1/7,5:00,2462
2019/1/7,6:00,2695
2019/1/7,7:00,3010
2019/1/7,8:00,3362
2019/1/7,9:00,3656
2019/1/7,10:00,3764
2019/1/7,11:00,3788
2019/1/7,12:00,3629
2019/1/7,13:00,3740
2019/1/7,14:00,3717
2019/1/7,15:00,3656
2019/1/7,16:00,3654
2019/1/7,17:00,3605
2019/1/7,18:00,3637
2019/1/7,19:00,3498
2019/1/7,20:00,3334
2019/1/7,21:00,3161
2019/1/7,22:00,3008
2019/1/7,23:00,2790
